תאריך,מאושפזים,אחוז נשים מאושפזות,גיל ממוצע מאושפזים,סטיית תקן גיל מאושפזים,מונשמים,אחוז נשים מונשמות,גיל ממוצע מונשמים,סטיית תקן גיל מונשמים,חולים קל,אחוז נשים חולות קל,גיל ממוצע חולים קל,סטיית תקן גיל חולים קל,חולים בינוני,אחוז נשים חולות בינוני,גיל ממוצע חולים בינוני,סטיית תקן גיל חולים בינוני,חולים קשה,אחוז נשים חולות קשה,גיל ממוצע חולים קשה,סטיית תקן גיל חולים קשה
2020-03-11,75,36.0,48.0,17.4,<15,20.0,63.0,15.3,68,36.8,47.0,16.8,NULL,NULL,NULL,NULL,<15,33.3,67.0,16.2
2020-03-12,97,39.2,50.0,18.0,<15,20.0,63.0,15.3,90,40.0,49.0,17.7,NULL,NULL,NULL,NULL,<15,33.3,67.0,16.2
2020-03-13,115,39.1,49.0,17.9,<15,20.0,63.0,15.3,105,39.0,47.0,17.4,<15,50.0,64.0,17.3,<15,33.3,67.0,16.2
2020-03-14,153,41.2,47.0,18.3,<15,0.0,70.0,7.4,144,41.7,46.0,17.5,<15,50.0,64.0,17.3,<15,20.0,76.0,10.3
2020-03-15,192,44.3,46.0,18.6,<15,20.0,74.0,7.6,178,44.4,45.0,17.6,<15,50.0,58.0,14.9,<15,37.5,79.0,9.1
2020-03-16,211,43.6,46.0,18.7,<15,16.7,74.0,7.1,196,43.9,45.0,17.8,<15,60.0,54.0,12.2,<15,30.0,78.0,8.6
2020-03-17,242,44.6,47.0,19.2,<15,16.7,74.0,7.1,225,45.3,46.0,18.6,<15,50.0,51.0,12.6,<15,27.3,76.0,8.9
2020-03-18,287,42.9,47.0,19.0,<15,16.7,74.0,7.1,263,44.1,45.0,18.3,<15,27.3,57.0,13.4,<15,30.8,76.0,9.4
2020-03-19,276,41.7,48.0,19.6,<15,36.4,70.0,12.9,247,42.5,46.0,19.0,<15,27.3,58.0,12.3,18,38.9,73.0,12.5
2020-03-20,272,43.0,50.0,19.3,<15,36.4,70.0,12.9,238,44.1,48.0,19.1,<15,28.6,57.0,11.0,20,40.0,71.0,12.1
2020-03-21,260,41.9,52.0,19.5,<15,35.7,68.0,12.5,217,42.9,49.0,19.5,20,35.0,59.0,10.5,23,39.1,71.0,12.9
2020-03-22,306,42.5,52.0,20.0,21,23.8,66.0,13.8,243,45.3,48.0,19.5,30,33.3,63.0,13.7,33,30.3,70.0,14.4
2020-03-23,329,42.6,54.0,20.0,22,27.3,69.0,12.0,257,44.0,50.0,19.6,34,38.2,65.0,14.8,38,36.8,72.0,12.7
2020-03-24,370,40.5,54.0,20.3,23,21.7,69.0,11.9,284,43.3,50.0,20.0,46,32.6,65.0,13.7,40,30.0,71.0,13.8
2020-03-25,387,39.8,55.0,20.2,25,28.0,68.0,14.4,292,42.8,51.0,20.1,51,27.5,64.0,13.3,44,34.1,71.0,15.3
2020-03-26,431,39.9,55.0,19.9,28,25.0,65.0,14.0,319,42.9,51.0,20.3,63,33.3,63.0,14.0,49,28.6,67.0,15.5
2020-03-27,469,39.9,56.0,19.7,34,23.5,63.0,16.8,344,43.6,52.0,20.1,67,28.4,63.0,13.5,58,31.0,66.0,17.1
2020-03-28,463,38.4,57.0,19.5,38,23.7,63.0,16.5,326,42.3,53.0,20.1,75,24.0,63.0,13.7,62,35.5,67.0,16.8
2020-03-29,486,37.0,57.0,19.2,47,19.1,64.0,14.8,336,41.4,53.0,19.9,78,25.6,62.0,14.8,72,29.2,66.0,15.2
2020-03-30,564,36.9,58.0,19.2,52,17.3,66.0,14.6,392,40.8,54.0,19.7,92,26.1,64.0,15.1,80,30.0,67.0,15.9
2020-03-31,622,36.3,58.0,19.2,62,17.7,65.0,14.4,428,39.5,54.0,19.6,103,30.1,64.0,16.3,91,28.6,67.0,15.1
2020-04-01,723,36.2,59.0,19.2,70,14.3,66.0,15.0,483,41.2,56.0,19.7,134,26.9,66.0,15.7,106,25.5,68.0,15.2
2020-04-02,778,37.5,59.0,19.1,75,17.3,66.0,14.4,532,42.5,56.0,19.7,138,26.8,66.0,16.3,108,26.9,68.0,14.4
2020-04-03,772,37.8,59.0,19.5,90,20.0,66.0,14.5,496,43.8,55.0,20.2,151,25.8,66.0,16.1,125,28.8,67.0,15.3
2020-04-04,761,36.9,60.0,19.9,105,20.0,65.0,15.2,462,44.8,56.0,21.1,163,23.9,66.0,15.8,136,25.7,67.0,15.5
2020-04-05,797,37.5,60.0,19.3,106,19.8,65.0,14.9,479,45.1,56.0,20.5,185,27.6,66.0,15.8,133,24.1,67.0,15.4
2020-04-06,790,37.3,61.0,18.8,108,18.5,64.0,15.3,443,43.1,57.0,19.7,202,34.2,68.0,15.7,145,24.1,66.0,15.6
2020-04-07,728,37.2,62.0,18.6,105,20.0,65.0,15.6,376,44.4,58.0,20.3,195,33.3,68.0,15.6,157,24.8,66.0,15.2
2020-04-08,676,37.1,63.0,18.5,114,19.3,65.0,15.4,323,45.8,58.0,20.4,189,32.3,68.0,15.6,164,25.6,66.0,15.2
2020-04-09,652,38.7,63.0,19.1,116,19.8,64.0,15.2,305,49.2,58.0,21.3,183,35.5,69.0,16.9,164,22.6,66.0,14.9
2020-04-10,659,39.2,63.0,19.2,127,21.3,64.0,15.2,323,49.8,58.0,21.0,167,34.7,70.0,16.6,169,23.1,66.0,14.9
2020-04-11,620,39.2,64.0,18.5,129,20.2,65.0,14.7,278,48.9,59.0,20.6,161,39.1,71.0,15.8,181,24.3,66.0,15.1
2020-04-12,659,40.1,65.0,18.4,129,19.4,66.0,14.8,309,46.9,61.0,20.4,173,43.4,69.0,16.6,177,24.9,67.0,15.1
2020-04-13,682,40.9,65.0,18.9,136,18.4,66.0,15.7,322,48.4,61.0,21.3,169,42.6,70.0,16.0,191,26.7,67.0,15.7
2020-04-14,668,42.4,66.0,19.2,132,19.7,65.0,15.7,322,50.0,62.0,21.9,170,45.3,71.0,15.5,176,25.6,67.0,15.6
2020-04-15,652,42.5,66.0,19.3,124,20.2,66.0,16.0,313,49.8,62.0,22.0,168,44.0,70.0,15.2,171,27.5,68.0,16.2
2020-04-16,676,43.3,65.0,19.9,123,20.3,65.0,16.0,347,52.2,61.0,22.5,160,43.8,71.0,15.4,169,24.9,66.0,15.9
2020-04-17,640,42.7,65.0,19.4,114,17.5,65.0,15.2,326,50.9,62.0,22.1,159,44.0,71.0,15.5,155,23.9,67.0,15.2
2020-04-18,622,43.7,65.0,19.8,113,19.5,65.0,15.6,314,52.9,61.0,22.6,141,46.1,72.0,15.5,167,24.6,66.0,15.1
2020-04-19,605,44.0,65.0,19.3,114,19.3,65.0,15.0,306,52.9,61.0,21.7,147,48.3,71.0,15.9,152,21.7,66.0,14.9
2020-04-20,598,44.6,64.0,19.3,122,20.5,65.0,15.3,311,53.1,61.0,21.5,134,48.5,71.0,15.4,153,24.2,66.0,15.5
2020-04-21,537,43.9,65.0,19.1,118,20.3,66.0,14.9,248,53.2,60.0,21.5,145,49.0,72.0,15.6,144,22.9,66.0,15.5
2020-04-22,522,42.1,65.0,19.1,110,20.0,66.0,14.6,252,51.6,61.0,21.3,122,44.3,72.0,16.3,148,24.3,67.0,15.0
2020-04-23,493,40.4,64.0,19.6,113,18.6,67.0,14.2,242,49.2,60.0,22.3,106,42.5,72.0,15.2,145,24.1,67.0,15.1
2020-04-24,453,40.4,65.0,19.2,108,19.4,67.0,14.6,202,50.5,59.0,21.8,107,40.2,71.0,16.0,144,26.4,68.0,15.1
2020-04-25,433,41.1,65.0,18.9,107,16.8,67.0,14.7,194,51.0,60.0,21.5,104,45.2,72.0,14.8,135,23.7,68.0,15.6
2020-04-26,432,40.7,64.0,19.2,110,17.3,67.0,15.5,200,48.5,59.0,21.1,91,48.4,72.0,15.2,141,24.8,67.0,16.8
2020-04-27,409,40.6,65.0,18.7,102,17.6,67.0,15.6,190,47.9,61.0,20.8,87,51.7,72.0,13.4,132,22.7,67.0,16.6
2020-04-28,386,40.4,65.0,19.7,101,17.8,66.0,16.4,175,49.1,60.0,22.3,84,48.8,72.0,14.2,127,22.8,67.0,16.9
2020-04-29,371,41.8,64.0,19.7,96,17.7,66.0,15.3,166,53.0,59.0,22.7,84,42.9,70.0,14.2,121,25.6,68.0,16.8
2020-04-30,372,41.4,64.0,19.7,90,17.8,66.0,15.3,174,52.3,61.0,21.6,86,39.5,68.0,18.2,112,25.9,67.0,16.7
2020-05-01,349,42.1,64.0,20.2,89,18.0,66.0,15.7,155,52.9,57.0,22.6,83,45.8,71.0,15.3,111,24.3,68.0,17.1
2020-05-02,331,43.8,65.0,19.9,90,18.9,66.0,14.3,154,57.8,59.0,22.3,65,43.1,73.0,14.7,112,25.0,67.0,16.7
2020-05-03,320,45.3,64.0,20.4,84,17.9,66.0,13.9,147,58.5,58.0,22.9,71,47.9,73.0,15.9,102,24.5,67.0,16.4
2020-05-04,315,44.1,64.0,21.1,78,19.2,66.0,13.8,144,56.9,57.0,23.4,73,43.8,72.0,16.7,98,25.5,67.0,16.7
2020-05-05,274,44.9,64.0,21.1,72,19.4,66.0,14.0,117,61.5,57.0,23.8,65,43.1,74.0,16.4,92,25.0,67.0,16.9
2020-05-06,267,43.4,64.0,20.8,70,18.6,66.0,14.0,116,57.8,57.0,23.1,62,41.9,75.0,15.7,89,25.8,67.0,17.0
2020-05-07,255,44.3,65.0,20.0,71,18.3,66.0,13.8,109,58.7,57.0,22.6,61,44.3,75.0,16.1,85,25.9,68.0,14.3
2020-05-08,237,46.4,65.0,19.7,64,20.3,66.0,13.8,106,59.4,59.0,22.3,53,52.8,74.0,16.7,78,24.4,68.0,14.4
2020-05-09,237,46.4,64.0,20.3,64,20.3,66.0,15.0,110,62.7,59.0,23.3,49,44.9,73.0,16.1,78,24.4,67.0,15.5
2020-05-10,241,44.4,64.0,20.2,66,19.7,66.0,15.3,115,59.1,58.0,22.7,52,46.2,72.0,16.2,74,20.3,67.0,15.6
2020-05-11,225,44.9,65.0,19.8,60,18.3,66.0,16.4,101,61.4,60.0,22.3,55,47.3,72.0,15.8,69,18.8,67.0,16.4
2020-05-12,220,45.5,65.0,19.6,56,21.4,65.0,16.4,101,59.4,61.0,22.3,54,46.3,70.0,17.0,65,23.1,67.0,15.7
2020-05-13,197,44.2,66.0,19.2,53,22.6,66.0,15.2,87,58.6,63.0,22.0,49,44.9,70.0,17.4,61,23.0,67.0,15.8
2020-05-14,188,44.7,65.0,19.6,52,23.1,66.0,15.3,83,61.4,62.0,22.9,44,43.2,69.0,17.1,61,23.0,67.0,15.7
2020-05-15,181,45.3,65.0,19.9,52,23.1,66.0,15.3,76,64.5,61.0,23.4,44,43.2,70.0,17.5,61,23.0,67.0,15.7
2020-05-16,177,45.8,65.0,19.9,51,23.5,66.0,15.4,76,64.5,60.0,23.4,41,43.9,70.0,16.6,60,23.3,67.0,15.8
2020-05-17,185,47.0,65.0,20.2,45,24.4,65.0,16.0,90,64.4,61.0,22.8,40,40.0,70.0,18.5,55,23.6,67.0,15.6
2020-05-18,170,44.1,65.0,20.4,43,20.9,66.0,15.3,75,61.3,61.0,24.2,43,39.5,68.0,17.9,52,23.1,67.0,15.6
2020-05-19,158,41.8,65.0,19.3,40,20.0,67.0,14.0,63,58.7,62.0,22.3,44,34.1,66.0,18.2,51,27.5,67.0,16.0
2020-05-20,152,43.4,64.0,19.6,41,22.0,68.0,12.7,66,60.6,61.0,22.1,40,32.5,65.0,20.4,46,28.3,69.0,13.5
2020-05-21,147,41.5,64.0,20.0,37,21.6,67.0,13.5,68,52.9,58.0,23.2,32,37.5,66.0,17.4,47,27.7,70.0,13.8
2020-05-22,143,42.7,63.0,20.0,37,21.6,67.0,13.5,63,55.6,56.0,23.2,33,39.4,66.0,17.4,47,27.7,70.0,13.8
2020-05-23,146,42.5,63.0,19.9,37,21.6,67.0,13.5,64,54.7,56.0,23.0,35,40.0,67.0,17.3,47,27.7,70.0,13.8
2020-05-24,144,42.4,63.0,20.0,34,23.5,67.0,13.1,62,54.8,56.0,23.3,39,41.0,68.0,15.6,43,25.6,69.0,14.7
2020-05-25,129,40.3,63.0,19.8,29,24.1,65.0,13.6,56,53.6,55.0,23.5,32,34.4,67.0,12.8,41,26.8,69.0,15.5
2020-05-26,120,42.5,63.0,19.3,32,25.0,66.0,13.4,47,55.3,57.0,23.5,37,40.5,66.0,14.7,36,27.8,69.0,14.6
2020-05-27,118,41.5,64.0,18.2,37,27.0,67.0,12.5,41,53.7,59.0,22.1,38,44.7,66.0,16.1,39,25.6,69.0,14.1
2020-05-28,110,37.3,63.0,17.7,34,26.5,67.0,13.0,38,50.0,58.0,21.7,36,36.1,64.0,15.2,36,25.0,68.0,13.9
2020-05-29,115,37.4,63.0,17.2,37,24.3,67.0,12.7,40,45.0,58.0,20.3,36,41.7,65.0,15.9,39,25.6,67.0,13.2
2020-05-30,119,37.0,63.0,17.1,33,21.2,67.0,13.2,41,46.3,58.0,20.8,43,39.5,65.0,14.9,35,22.9,67.0,13.1
2020-05-31,121,36.4,63.0,16.6,31,22.6,67.0,13.4,39,43.6,57.0,20.2,47,34.0,65.0,13.4,35,31.4,69.0,13.9
2020-06-01,122,36.9,63.0,17.4,30,23.3,67.0,13.5,43,44.2,57.0,21.7,45,37.8,65.0,12.8,34,26.5,69.0,13.8
2020-06-02,119,37.0,61.0,19.6,29,24.1,67.0,13.8,45,46.7,54.0,25.6,45,35.6,64.0,12.8,29,24.1,68.0,14.2
2020-06-03,114,36.8,61.0,19.5,25,28.0,67.0,14.5,45,48.9,55.0,24.5,41,31.7,64.0,13.2,28,25.0,69.0,14.5
2020-06-04,121,35.5,60.0,20.1,23,30.4,67.0,15.0,55,41.8,52.0,23.5,36,33.3,65.0,13.8,30,26.7,68.0,14.0
2020-06-05,116,35.3,60.0,19.7,23,30.4,67.0,15.2,46,43.5,49.0,22.8,41,31.7,67.0,12.8,29,27.6,68.0,14.3
2020-06-06,112,35.7,61.0,19.2,21,33.3,66.0,15.6,41,46.3,53.0,24.1,42,31.0,65.0,13.7,29,27.6,68.0,14.0
2020-06-07,121,34.7,60.0,20.4,23,30.4,66.0,15.0,50,42.0,51.0,23.2,42,31.0,65.0,15.6,29,27.6,69.0,15.0
2020-06-08,131,35.1,59.0,21.0,23,30.4,66.0,15.0,55,41.8,48.0,23.5,46,32.6,64.0,15.4,30,26.7,69.0,15.1
2020-06-09,131,35.9,60.0,19.9,24,33.3,67.0,15.3,56,46.4,52.0,23.9,44,27.3,64.0,12.4,31,29.0,67.0,15.5
2020-06-10,131,36.6,60.0,19.9,23,34.8,67.0,15.7,56,46.4,55.0,24.4,44,29.5,63.0,13.7,31,29.0,66.0,15.9
2020-06-11,134,34.3,60.0,18.9,23,30.4,66.0,15.3,59,40.7,54.0,22.2,41,31.7,62.0,13.6,34,26.5,67.0,14.6
2020-06-12,135,31.9,61.0,17.7,24,29.2,67.0,15.2,57,36.8,56.0,20.9,45,31.1,63.0,14.0,33,24.2,66.0,14.1
2020-06-13,135,32.6,61.0,17.8,25,28.0,67.0,14.9,52,36.5,55.0,21.7,49,34.7,63.0,13.5,34,23.5,68.0,13.0
2020-06-14,143,34.3,61.0,16.6,22,27.3,71.0,9.1,62,41.9,57.0,19.4,50,32.0,61.0,13.8,31,22.6,71.0,10.1
2020-06-15,155,35.5,61.0,16.7,25,28.0,68.0,12.1,71,39.4,59.0,19.2,48,33.3,59.0,14.3,36,30.6,67.0,12.7
2020-06-16,159,34.0,59.0,17.9,26,30.8,67.0,11.8,76,35.5,56.0,20.0,45,33.3,60.0,15.3,38,31.6,65.0,14.5
2020-06-17,156,35.9,61.0,16.9,29,34.5,68.0,12.2,72,38.9,56.0,18.3,48,33.3,61.0,16.1,36,33.3,69.0,11.4
2020-06-18,182,38.5,61.0,17.6,28,35.7,69.0,12.5,100,44.0,56.0,18.2,43,34.9,64.0,17.1,39,28.2,70.0,11.8
2020-06-19,185,41.1,63.0,16.7,28,35.7,69.0,12.5,100,44.0,61.0,17.3,47,42.6,63.0,17.4,38,31.6,71.0,11.9
2020-06-20,207,44.0,63.0,17.2,28,35.7,69.0,12.5,118,48.3,61.0,18.2,49,40.8,63.0,16.7,40,35.0,71.0,12.1
2020-06-21,242,43.8,63.0,17.7,29,37.9,70.0,12.3,139,47.5,59.0,18.5,58,44.8,65.0,16.9,45,31.1,72.0,11.9
2020-06-22,225,41.3,64.0,17.4,29,37.9,67.0,15.2,127,43.3,60.0,18.3,54,42.6,68.0,15.6,44,34.1,70.0,13.9
2020-06-23,212,40.6,64.0,17.3,26,38.5,66.0,15.2,122,42.6,61.0,18.5,50,40.0,68.0,14.9,40,35.0,69.0,14.4
2020-06-24,210,40.0,63.0,17.2,27,37.0,67.0,15.4,123,42.3,61.0,18.4,42,38.1,65.0,14.8,45,35.6,70.0,14.1
2020-06-25,202,40.6,63.0,17.7,28,35.7,68.0,15.0,105,41.9,60.0,18.9,53,41.5,67.0,16.5,44,36.4,67.0,14.2
2020-06-26,227,46.7,62.0,19.9,26,34.6,66.0,14.5,127,52.8,57.0,22.2,55,41.8,67.0,16.2,45,35.6,68.0,13.2
2020-06-27,232,48.7,62.0,20.3,22,22.7,69.0,8.5,137,54.0,58.0,23.0,55,49.1,67.0,15.1,40,30.0,69.0,11.5
2020-06-28,250,46.0,62.0,19.5,23,26.1,69.0,9.6,145,50.3,58.0,21.6,66,47.0,69.0,15.8,39,28.2,67.0,11.7
2020-06-29,262,43.1,62.0,19.7,24,29.2,68.0,9.9,153,44.4,57.0,20.8,65,46.2,71.0,15.9,44,34.1,67.0,14.0
2020-06-30,283,43.8,62.0,19.1,24,29.2,68.0,11.3,160,45.6,58.0,20.1,67,46.3,68.0,17.2,56,35.7,68.0,14.6
2020-07-01,319,42.3,60.0,20.5,24,33.3,68.0,11.1,188,42.6,56.0,21.5,72,51.4,66.0,19.1,59,30.5,69.0,13.5
2020-07-02,324,42.9,61.0,21.0,27,40.7,71.0,15.2,182,44.5,55.0,22.3,71,40.8,69.0,16.9,71,40.8,69.0,14.9
2020-07-03,339,41.6,60.0,20.9,28,32.1,71.0,15.3,184,45.7,53.0,22.2,74,36.5,67.0,16.7,81,37.0,69.0,14.9
2020-07-04,352,42.6,60.0,20.8,32,25.0,67.0,15.2,187,48.7,53.0,22.2,81,33.3,69.0,16.2,84,38.1,68.0,14.3
2020-07-05,403,41.7,61.0,20.1,31,25.8,69.0,15.2,230,45.2,54.0,20.9,80,38.8,71.0,16.0,93,35.5,69.0,14.3
2020-07-06,423,42.3,61.0,20.0,34,23.5,69.0,15.3,239,47.3,55.0,20.6,93,34.4,70.0,17.5,91,37.4,68.0,15.0
2020-07-07,450,41.3,62.0,20.3,35,25.7,70.0,15.8,264,46.6,58.0,21.3,95,30.5,67.0,19.4,91,37.4,69.0,14.4
2020-07-08,474,42.4,62.0,20.1,38,26.3,68.0,16.0,276,47.1,57.0,21.3,87,35.6,68.0,16.1,111,36.0,69.0,15.6
2020-07-09,528,43.6,61.0,20.4,41,24.4,68.0,16.5,304,49.3,56.0,21.3,98,35.7,67.0,17.1,126,35.7,69.0,16.0
2020-07-10,543,45.5,60.0,20.7,41,26.8,68.0,16.5,308,51.9,55.0,21.9,104,38.5,67.0,16.2,131,35.9,69.0,16.0
2020-07-11,549,44.1,61.0,20.0,47,25.5,69.0,16.1,293,49.5,54.0,20.8,120,38.3,69.0,15.8,136,37.5,68.0,16.2
2020-07-12,624,46.2,60.0,20.5,47,29.8,67.0,15.5,349,53.6,54.0,21.2,123,35.0,69.0,17.0,152,38.2,67.0,16.2
2020-07-13,630,45.4,61.0,20.7,52,26.9,68.0,14.8,330,53.9,55.0,21.8,118,33.9,67.0,18.0,182,37.4,68.0,16.3
2020-07-14,617,45.1,61.0,20.2,54,29.6,68.0,16.3,292,54.1,55.0,21.6,136,38.2,65.0,18.4,189,36.0,68.0,16.2
2020-07-15,644,45.7,61.0,20.3,55,29.1,68.0,16.2,322,51.6,56.0,21.5,118,39.0,64.0,18.9,204,40.2,68.0,16.7
2020-07-16,659,47.6,60.0,20.8,58,27.6,67.0,15.4,328,54.6,55.0,22.3,127,41.7,63.0,18.9,204,40.2,68.0,16.2
2020-07-17,665,47.2,60.0,20.6,55,29.1,66.0,15.0,310,52.6,55.0,22.8,142,46.5,62.0,18.2,213,39.9,67.0,16.0
2020-07-18,669,45.7,61.0,20.5,55,29.1,65.0,15.2,295,51.2,55.0,22.8,145,47.6,64.0,17.7,229,37.6,67.0,16.3
2020-07-19,778,47.4,60.0,21.0,72,34.7,66.0,16.6,378,52.4,54.0,23.2,138,43.5,63.0,17.1,262,42.4,67.0,16.5
